Synonym	current_species_or_subspecies_name
Aelurosaurus felinus	Aeluroscalabotes felinus
Aelurosaurus dorsalis	Aeluroscalabotes felinus
Aeluroscalabotes felinus	Aeluroscalabotes felinus
Aeluroscalabotes dorsalis	Aeluroscalabotes felinus
Aeluroscalabotes longicaudatus	Aeluroscalabotes felinus
Aeluroscalabotes felinus multituberculatus	Aeluroscalabotes felinus multituberculatus
Aeluroscalabotes multituberculatus	Aeluroscalabotes felinus multituberculatus
Ablepharus duruarum	Panaspis duruarum
Afroablepharus duruarus	Panaspis duruarum
Panaspis duruarum	Panaspis duruarum
Panaspis Afroablepharus duruarum	Panaspis duruarum
Afroablepharus duruarum	Panaspis duruarum
Ablepharus megalurus	Panaspis megalurus
Afroablepharus megalurus	Panaspis megalurus
Panaspis megalurus	Panaspis megalurus
Ablepharus seydeli	Panaspis seydeli
Ablepharus moeruensis	Panaspis seydeli
Ablepharus smithii	Panaspis seydeli
Afroablepharus seydeli	Panaspis seydeli
Ablepharus smithi	Panaspis seydeli
Panaspis smithi	Panaspis seydeli
Panaspis seydeli	Panaspis seydeli
Ablepharus tancredi	Panaspis tancredi
Ablepharus anselli	Panaspis tancredi
Afroablepharus tancredi	Panaspis tancredi
Panaspis tancredii	Panaspis tancredi
Panaspis tancredi	Panaspis tancredi
Cryptoblepharus wahlbergi	Panaspis wahlbergi
Ablepharus Walbergii	Panaspis wahlbergi
Ablepharus carsonii	Panaspis wahlbergi
Ablepharus wahlbergi	Panaspis wahlbergi
Ablepharus wahlbergii	Panaspis wahlbergi
Ablepharus massaiensis	Panaspis wahlbergi
Afroablepharus wahlbergi	Panaspis wahlbergi
Afroblepharus wahlbergi	Panaspis wahlbergi
Panaspis wahlbergii	Panaspis wahlbergi
Panaspis wahlbergi	Panaspis wahlbergi
Afroablepharus walbergii	Panaspis wahlbergi
Ablepharus wilsoni	Panaspis wilsoni
Afroblepharus wilsoni	Panaspis wilsoni
Afroablepharus wilsoni	Panaspis wilsoni
Panaspis wilsoni	Panaspis wilsoni
Afreoablepharus wilsoni	Panaspis wilsoni
